GENE_SYMBOL,NUM_PATHWAYS
MAPK3,119
MAPK1,119
PIK3CA,109
PIK3CD,109
PIK3CB,109
P3R3URF-PIK3R3,106
PIK3R1,106
PIK3R2,106
PIK3R3,106
AKT3,103
AKT1,103
AKT2,103
MAP2K1,91
HRAS,84
KRAS,83
RAF1,83
NRAS,80
MAP2K2,79
NFKB1,76
RELA,76
PRKCA,75
MAPK10,74
MAPK9,74
MAPK8,74
PRKCB,73
PRKACB,72
PRKACG,72
PRKACA,72
TNF,67
MAPK14,64
MAPK11,64
MAPK13,64
MAPK12,64
PRKCG,64
PLCB3,63
PLCB1,63
PLCB2,63
PLCB4,63
IKBKB,59
ADCY5,57
JUN,56
RAC1,55
ADCY1,54
ADCY9,54
ADCY3,54
ADCY6,54
IKBKG,53
CHUK,53
GNAS,53
ADCY8,53
MTOR,52
ADCY4,52
ADCY2,52
GRB2,51
TP53,51
IL6,51
ADCY7,51
GNAQ,50
ITPR1,50
BAX,50
ITPR3,50
EGFR,50
CCND1,49
NFKBIA,49
SOS1,48
GSK3B,48
SOS2,48
ITPR2,46
PLCG1,46
CASP3,46
FOS,45
SRC,45
IL1B,44
BRAF,44
GNAI2,43
GNAI1,43
GNAI3,43
CREB1,43
CALML6,43
CALML5,43
CALML4,43
RHOA,43
BCL2,43
CALM1,43
CALM3,43
CALML3,43
CALM2,43
BAD,43
CDKN1A,41
PLCG2,41
ATF4,40
CASP8,37
TGFB1,36
ARAF,36
ACTG1,35
CREB3L2,35
CACNA1D,35
CREB3,35
CREB3L4,35
CASP9,35
ACTB,35
TNFRSF1A,35
CREB3L3,35
CREB3L1,35
CAMK2D,34
CYCS,34
MYC,34
CACNA1C,34
CREB5,34
CAMK2B,34
CAMK2G,34
CAMK2A,34
TRAF6,33
BAK1,33
STAT3,33
IGF1,33
PPP3CA,33
CXCL8,33
PPP3CC,33
CDC42,33
CTNNB1,33
TRAF2,33
PPP3CB,33
PPP3R1,32
IFNG,32
FAS,32
PPP3R2,32
EGF,32
TLR4,31
IGF1R,31
TGFB2,31
FASLG,31
INS,31
RPS6KB2,31
RPS6KB1,31
RAC2,30
IGH,30
MAP3K7,29
ITGB1,29
STAT1,29
JAK1,28
BCL2L1,28
PTEN,28
CDK4,28
FADD,28
TGFB3,28
CREBBP,28
EP300,28
IFNB1,28
CACNA1S,27
PDPK1,27
CACNA1F,27
PTK2,27
ATF2,27
ITGB3,26
E2F1,26
JAK2,26
MYD88,26
TBK1,25
IFNA16,25
IFNA13,25
IFNA17,25
IFNA2,25
NFATC1,25
RAC3,25
IFNA8,25
IFNA4,25
MAP2K7,25
IFNA14,25
IL12B,25
VEGFA,25
IL12A,25
MDM2,25
RB1,25
ATF6B,25
IFNA6,25
IFNA5,25
IFNA7,25
IFNA21,25
IFNA1,25
IFNA10,25
BID,24
HLA-DQA2,24
MET,24
HLA-DRB1,24
HLA-DRB4,24
HLA-DMB,24
HLA-DRB3,24
HLA-DRB5,24
MAP2K6,24
HLA-DOA,24
HLA-DPB1,24
HLA-DPA1,24
HLA-DOB,24
HLA-DQA1,24
HLA-DQB2,24
HLA-DQB1,24
HLA-DMA,24
TRADD,24
HLA-DRA,24
GADD45A,23
GADD45B,23
PLA2G4C,23
PLA2G4B,23
PLA2G4E,23
PLA2G4D,23
INSR,23
PLA2G4A,23
TGFBR2,23
IL10,23
TGFBR1,23
TLR2,23
E2F2,23
CDK6,23
E2F3,23
ERBB2,23
PTGS2,23
JMJD7-PLA2G4B,23
NFATC2,23
GADD45G,23
PLA2G4F,23
GNB1,22
ROCK2,22
SHC1,22
IRAK4,22
GNG13,22
PPP1CB,22
PPP1CA,22
GNG12,22
PPP1CC,22
SHC2,22
SHC4,22
SMAD3,22
PDGFRA,21
ITGB2,21
IRF3,21
PDGFB,21
APAF1,21
SHC3,21
MAP2K3,21
PTPN11,21
TCF7,21
ROCK1,21
TAB2,21
GNB3,21
NFATC3,21
GNAO1,21
ITGA5,21
GNA11,21
GNGT1,21
GNG7,21
IRS1,21
IL1A,21
GRIN2B,21
GNG4,20
GRIN2A,20
GNG2,20
GNG10,20
DDB2,20
GNG3,20
GNGT2,20
TCF7L1,20
MAP2K4,20
GNB5,20
GNB4,20
GNB2,20
CRKL,20
SMAD2,20
MAP3K5,20
CRK,20
IRAK1,20
CCND2,20
PDGFA,20
IL2,20
PDGFRB,20
GNG11,20
TCF7L2,20
ITGAV,20
TRAF3,20
PAK1,20
GNG8,20
PRKAA2,20
PRKAA1,20
GNG5,20
ICAM1,19
ATP1B3,19
NFKBIB,19
ATP1A3,19
NOS3,19
ATP1B1,19
ATP1A4,19
NOS2,19
ATP1B2,19
ATP1A2,19
ATP1A1,19
SMAD4,19
ATP1B4,19
HLA-C,19
VDAC3,19
HLA-A,19
HLA-G,19
HLA-B,19
HLA-E,19
VDAC1,19
PPP2CA,19
PPP2CB,19
GRIN1,19
CDK2,19
LEF1,19
STAT5B,19
CDKN1B,19
ITGAM,18
HDAC1,18
RXRA,18
HDAC2,18
HLA-F,18
TAB1,18
CDKN2A,18
STAT5A,18
IFNGR1,18
IFNAR1,18
IKBKE,18
C3,18
NOS1,18
CCNE1,17
STAT2,17
HGF,17
CCL2,17
FOXO1,17
WNT4,17
CCND3,17
IFNGR2,17
POLK,17
RAP1A,17
SYK,17
CD40,17
PPP2R1B,17
ITGA2B,17
ITGA2,17
FGFR1,17
AGTR1,17
ITGA4,17
FZD3,17
PPP2R1A,17
TYK2,17
CCNE2,17
VDAC2,17
PRKCD,17
IFNAR2,17
BIRC2,16
PLD1,16
RAP1B,16
BIRC3,16
MMP9,16
IRS2,16
TICAM1,16
RIPK1,16
PLD2,16
PRKAG3,16
WNT3,16
PRKCZ,16
CCL5,16
FOXO3,16
FXYD2,16
CASP1,16
WNT5A,16
PRKAG1,16
CSF2,16
AGT,16
WNT16,16
ATP2A1,16
WNT1,16
ATP2A3,16
GRIN2D,16
WNT5B,16
APC,16
APC2,16
PRKAB2,16
PRKAG2,16
PIK3C3,16
PRKAB1,16
ATP2A2,16
CACNA1A,16
GRIN2C,16
GRIA2,16
IL18,16
IL4,16
ITGA6,16
WNT3A,16
JAK3,15
DLD,15
WNT2B,15
WNT7B,15
WNT8A,15
GRM1,15
TSC2,15
FZD9,15
EIF2S1,15
ELK1,15
HSP90AA1,15
HSP90AB1,15
WNT6,15
WNT7A,15
WNT2,15
WNT10A,15
GRIA1,15
WNT10B,15
ALDH7A1,15
GCK,15
IRF9,15
WNT11,15
CACNA1B,15
ALDH2,15
ALDH3A2,15
SP1,15
FZD8,15
PXN,15
EIF4EBP1,15
FZD7,15
HK3,15
HKDC1,15
HK1,15
HK2,15
WNT9B,15
FZD5,15
WNT8B,15
WNT9A,15
FZD4,15
TGFA,15
FZD6,15
THBS1,15
SLC25A31,15
SLC25A4,15
